id_transacao,id_tipo_transacao,id_pais_origem,id_pais_destino,id_produto,valor_monetario_transacao,quantidade_transacionada,id_transporte,id_cambio,descricao_tipo_transacao,descricao_transporte,data,id_moeda_origem,id_moeda_destino,taxa_cambio_transacao,descricao_moeda_origem,pais_moeda_origem,descricao_moeda_destino,pais_moeda_destino,nome_pais_origem,codigo_iso_pais_origem,bloco_id_origem,nome_pais_destino,codigo_iso_pais_destino,bloco_id_destino,valor_convertido_transacao
559,5,9,2,9,7968.0,962,1,277,Venda internacional,Marítimo,2023-02-16,6,1,5.344789,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Portugal,PRT,2.0,Argentina,ARG,1.0,42587.278752
560,6,14,13,12,8879.17,1291,2,278,Devolução internacional,Aéreo,2023-02-16,5,1,5.520169,Euro,Zona do Euro,Real Brasileiro,Brasil,México,MEX,3.0,Canadá,CAN,3.0,49014.518979730005
561,1,19,24,15,9790.34,1620,3,279,Importação,Rodoviário,2023-02-16,9,1,0.731194,Yuan Chinês,China,Real Brasileiro,Brasil,Rússia,RUS,6.0,Bolívia,BOL,7.0,7158.63786596
562,2,24,35,18,10701.51,1949,4,280,Exportação,Ferroviário,2023-02-16,10,6,0.007212,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Bolívia,BOL,7.0,Singapura,SGP,4.0,77.17929012
563,3,29,6,21,11612.68,278,5,281,Transferência entre filiais,Multimodal,2023-02-16,15,1,0.006035,Peso Chileno,Chile,Real Brasileiro,Brasil,Nova Zelândia,NZL,5.0,França,FRA,2.0,70.0825238
564,4,34,17,24,12523.85,607,6,282,Compra internacional,Courier Internacional,2023-02-16,18,1,1.449401,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Turquia,TUR,,Coreia do Sul,KOR,5.0,18152.08071385
565,6,22,23,36,2539.11,1009,1,283,Devolução internacional,Marítimo,2023-02-17,6,1,5.333833,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Peru,PER,7.0,Colômbia,COL,7.0,13543.188708630001
566,1,27,34,39,3450.28,1345,2,284,Importação,Aéreo,2023-02-17,5,1,5.50764,Euro,Zona do Euro,Real Brasileiro,Brasil,Egito,EGY,8.0,Turquia,TUR,,19002.900139200003
567,2,32,5,2,4361.45,1681,3,285,Exportação,Rodoviário,2023-02-17,9,1,0.730419,Yuan Chinês,China,Real Brasileiro,Brasil,Suécia,SWE,2.0,Alemanha,DEU,2.0,3185.68594755
568,3,37,16,5,5272.62,17,4,286,Transferência entre filiais,Ferroviário,2023-02-17,10,6,0.007217,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Vietnã,VNM,4.0,Japão,JPN,5.0,38.05249854
569,4,2,27,8,6183.79,353,5,287,Compra internacional,Multimodal,2023-02-17,15,1,0.006052,Peso Chileno,Chile,Real Brasileiro,Brasil,Argentina,ARG,1.0,Egito,EGY,8.0,37.42429708
570,5,7,38,11,7094.96,689,6,288,Venda internacional,Courier Internacional,2023-02-17,18,1,1.453919,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Itália,ITA,2.0,Indonésia,IDN,4.0,10315.49714824
571,6,12,9,14,8005.13,1025,1,283,Devolução internacional,Marítimo,2023-02-17,6,1,5.333833,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Estados Unidos,USA,3.0,Portugal,PRT,2.0,42698.026563290005
572,1,17,20,17,8916.3,1361,2,284,Importação,Aéreo,2023-02-17,5,1,5.50764,Euro,Zona do Euro,Real Brasileiro,Brasil,Coreia do Sul,KOR,5.0,África do Sul,ZAF,6.0,49107.770532
573,2,22,31,20,9827.47,1697,3,285,Exportação,Rodoviário,2023-02-17,9,1,0.730419,Yuan Chinês,China,Real Brasileiro,Brasil,Peru,PER,7.0,Noruega,NOR,10.0,7178.17080993
574,3,27,2,23,10738.64,33,4,286,Transferência entre filiais,Ferroviário,2023-02-17,10,6,0.007217,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Egito,EGY,8.0,Argentina,ARG,1.0,77.50076488
575,4,32,13,26,11649.81,369,5,287,Compra internacional,Multimodal,2023-02-17,15,1,0.006052,Peso Chileno,Chile,Real Brasileiro,Brasil,Suécia,SWE,2.0,Canadá,CAN,3.0,70.50465012
576,5,37,24,29,12560.98,705,6,288,Venda internacional,Courier Internacional,2023-02-17,18,1,1.453919,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Vietnã,VNM,4.0,Bolívia,BOL,7.0,18262.64748062
577,1,25,30,1,2576.24,1030,1,289,Importação,Marítimo,2023-02-18,6,1,5.322633,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Emirados Árabes Unidos,ARE,8.0,Suíça,CHE,10.0,13712.380039919999
578,2,30,1,4,3487.41,1373,2,290,Exportação,Aéreo,2023-02-18,5,1,5.495351,Euro,Zona do Euro,Real Brasileiro,Brasil,Suíça,CHE,10.0,Brasil,BRA,1.0,19164.54203091
579,3,35,12,7,4398.58,1716,3,291,Transferência entre filiais,Rodoviário,2023-02-18,9,1,0.729722,Yuan Chinês,China,Real Brasileiro,Brasil,Singapura,SGP,4.0,Estados Unidos,USA,3.0,3209.74059476
580,4,40,23,10,5309.75,59,4,292,Compra internacional,Ferroviário,2023-02-18,10,6,0.007224,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Nigéria,NGA,9.0,Colômbia,COL,7.0,38.357634000000004
581,5,5,34,13,6220.92,402,5,293,Venda internacional,Multimodal,2023-02-18,15,1,0.00607,Peso Chileno,Chile,Real Brasileiro,Brasil,Alemanha,DEU,2.0,Turquia,TUR,,37.7609844
582,6,10,5,16,7131.09,745,6,294,Devolução internacional,Courier Internacional,2023-02-18,18,1,1.458428,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Países Baixos,NLD,2.0,Alemanha,DEU,2.0,10400.18132652
583,1,15,16,19,8042.26,1088,1,289,Importação,Marítimo,2023-02-18,6,1,5.322633,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,China,CHN,5.0,Japão,JPN,5.0,42805.99847058
584,2,20,27,22,8953.43,1431,2,290,Exportação,Aéreo,2023-02-18,5,1,5.495351,Euro,Zona do Euro,Real Brasileiro,Brasil,África do Sul,ZAF,6.0,Egito,EGY,8.0,49202.24050393001
585,3,25,38,25,9864.6,1774,3,291,Transferência entre filiais,Rodoviário,2023-02-18,9,1,0.729722,Yuan Chinês,China,Real Brasileiro,Brasil,Emirados Árabes Unidos,ARE,8.0,Indonésia,IDN,4.0,7198.4156412
586,4,30,9,28,10775.77,117,4,292,Compra internacional,Ferroviário,2023-02-18,10,6,0.007224,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Suíça,CHE,10.0,Portugal,PRT,2.0,77.84416248000001
587,5,35,20,31,11686.94,460,5,293,Venda internacional,Multimodal,2023-02-18,15,1,0.00607,Peso Chileno,Chile,Real Brasileiro,Brasil,Singapura,SGP,4.0,África do Sul,ZAF,6.0,70.9397258
588,6,40,31,34,12597.11,803,6,294,Devolução internacional,Courier Internacional,2023-02-18,18,1,1.458428,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Nigéria,NGA,9.0,Noruega,NOR,10.0,18371.97794308
589,2,28,37,6,2613.37,1051,1,295,Exportação,Marítimo,2023-02-19,6,1,5.311223,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Austrália,AUS,5.0,Vietnã,VNM,4.0,13880.19085151
590,3,33,8,9,3524.54,1401,2,296,Transferência entre filiais,Aéreo,2023-02-19,5,1,5.483341,Euro,Zona do Euro,Real Brasileiro,Brasil,Dinamarca,DNK,2.0,Espanha,ESP,2.0,19326.25468814
591,4,38,19,12,4435.71,1751,3,297,Compra internacional,Rodoviário,2023-02-19,9,1,0.729106,Yuan Chinês,China,Real Brasileiro,Brasil,Indonésia,IDN,4.0,Rússia,RUS,6.0,3234.1027752600003
592,5,3,30,15,5346.88,101,4,298,Venda internacional,Ferroviário,2023-02-19,10,6,0.007231,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Paraguai,PRY,1.0,Suíça,CHE,10.0,38.66328928
593,6,8,1,18,6257.05,451,5,299,Devolução internacional,Multimodal,2023-02-19,15,1,0.006088,Peso Chileno,Chile,Real Brasileiro,Brasil,Espanha,ESP,2.0,Brasil,BRA,1.0,38.0929204
594,1,13,12,21,7168.22,801,6,300,Importação,Courier Internacional,2023-02-19,18,1,1.462912,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Canadá,CAN,3.0,Estados Unidos,USA,3.0,10486.47505664
595,2,18,23,24,8079.39,1151,1,295,Exportação,Marítimo,2023-02-19,6,1,5.311223,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Índia,IND,6.0,Colômbia,COL,7.0,42911.44199397
596,3,23,34,27,8990.56,1501,2,296,Transferência entre filiais,Aéreo,2023-02-19,5,1,5.483341,Euro,Zona do Euro,Real Brasileiro,Brasil,Colômbia,COL,7.0,Turquia,TUR,,49298.30626096
597,4,28,5,30,9901.73,1851,3,297,Compra internacional,Rodoviário,2023-02-19,9,1,0.729106,Yuan Chinês,China,Real Brasileiro,Brasil,Austrália,AUS,5.0,Alemanha,DEU,2.0,7219.41075338
598,5,33,16,33,10812.9,201,4,298,Venda internacional,Ferroviário,2023-02-19,10,6,0.007231,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Dinamarca,DNK,2.0,Japão,JPN,5.0,78.18807989999999
599,6,38,27,36,11723.07,551,5,299,Devolução internacional,Multimodal,2023-02-19,15,1,0.006088,Peso Chileno,Chile,Real Brasileiro,Brasil,Indonésia,IDN,4.0,Egito,EGY,8.0,71.37005015999999
600,1,3,38,39,12634.24,901,6,300,Importação,Courier Internacional,2023-02-19,18,1,1.462912,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Paraguai,PRY,1.0,Indonésia,IDN,4.0,18482.78130688
601,3,31,4,11,2650.5,1072,1,301,Transferência entre filiais,Marítimo,2023-02-20,6,1,5.299641,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Noruega,NOR,10.0,Uruguai,URY,1.0,14046.698470500001
602,4,36,15,14,3561.67,1429,2,302,Compra internacional,Aéreo,2023-02-20,5,1,5.47165,Euro,Zona do Euro,Real Brasileiro,Brasil,Tailândia,THA,4.0,China,CHN,5.0,19488.211655500003
603,5,1,26,17,4472.84,1786,3,303,Venda internacional,Rodoviário,2023-02-20,9,1,0.728573,Yuan Chinês,China,Real Brasileiro,Brasil,Brasil,BRA,1.0,Arábia Saudita,SAU,8.0,3258.7904573200003
604,6,6,37,20,5383.01,143,4,304,Devolução internacional,Ferroviário,2023-02-20,10,6,0.00724,Iene Japonês,Japão,Dólar Americano,Estados Unidos,França,FRA,2.0,Vietnã,VNM,4.0,38.9729924
605,1,11,8,23,6294.18,500,5,305,Importação,Multimodal,2023-02-20,15,1,0.006107,Peso Chileno,Chile,Real Brasileiro,Brasil,Bélgica,BEL,2.0,Espanha,ESP,2.0,38.438557259999996
606,2,16,19,26,7205.35,857,6,306,Exportação,Courier Internacional,2023-02-20,18,1,1.467355,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Japão,JPN,5.0,Rússia,RUS,6.0,10572.80634925
607,3,21,30,29,8116.52,1214,1,301,Transferência entre filiais,Marítimo,2023-02-20,6,1,5.299641,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Chile,CHL,7.0,Suíça,CHE,10.0,43014.64216932
608,4,26,1,32,9027.69,1571,2,302,Compra internacional,Aéreo,2023-02-20,5,1,5.47165,Euro,Zona do Euro,Real Brasileiro,Brasil,Arábia Saudita,SAU,8.0,Brasil,BRA,1.0,49396.35998850001
609,5,31,12,35,9938.86,1928,3,303,Venda internacional,Rodoviário,2023-02-20,9,1,0.728573,Yuan Chinês,China,Real Brasileiro,Brasil,Noruega,NOR,10.0,Estados Unidos,USA,3.0,7241.18504678
610,6,36,23,38,10849.03,285,4,304,Devolução internacional,Ferroviário,2023-02-20,10,6,0.00724,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Tailândia,THA,4.0,Colômbia,COL,7.0,78.5469772
611,1,1,34,1,11760.2,642,5,305,Importação,Multimodal,2023-02-20,15,1,0.006107,Peso Chileno,Chile,Real Brasileiro,Brasil,Brasil,BRA,1.0,Turquia,TUR,,71.8195414
612,2,6,5,4,12671.37,999,6,306,Exportação,Courier Internacional,2023-02-20,18,1,1.467355,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,França,FRA,2.0,Alemanha,DEU,2.0,18593.39812635
613,4,34,11,16,2687.63,1093,1,307,Compra internacional,Marítimo,2023-02-21,6,1,5.287921,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Turquia,TUR,,Bélgica,BEL,2.0,14211.97511723
614,5,39,22,19,3598.8,1457,2,308,Venda internacional,Aéreo,2023-02-21,5,1,5.460312,Euro,Zona do Euro,Real Brasileiro,Brasil,Malásia,MYS,4.0,Peru,PER,7.0,19650.5708256
615,6,4,33,22,4509.97,1821,3,309,Devolução internacional,Rodoviário,2023-02-21,9,1,0.728124,Yuan Chinês,China,Real Brasileiro,Brasil,Uruguai,URY,1.0,Dinamarca,DNK,2.0,3283.81739628
616,1,9,4,25,5420.14,185,4,310,Importação,Ferroviário,2023-02-21,10,6,0.00725,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Portugal,PRT,2.0,Uruguai,URY,1.0,39.296015000000004
617,2,14,15,28,6331.31,549,5,311,Exportação,Multimodal,2023-02-21,15,1,0.006127,Peso Chileno,Chile,Real Brasileiro,Brasil,México,MEX,3.0,China,CHN,5.0,38.79193637
618,3,19,26,31,7242.48,913,6,312,Transferência entre filiais,Courier Internacional,2023-02-21,18,1,1.471741,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Rússia,RUS,6.0,Arábia Saudita,SAU,8.0,10659.05475768
619,4,24,37,34,8153.65,1277,1,307,Compra internacional,Marítimo,2023-02-21,6,1,5.287921,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Bolívia,BOL,7.0,Vietnã,VNM,4.0,43115.85706165
620,5,29,8,37,9064.82,1641,2,308,Venda internacional,Aéreo,2023-02-21,5,1,5.460312,Euro,Zona do Euro,Real Brasileiro,Brasil,Nova Zelândia,NZL,5.0,Espanha,ESP,2.0,49496.74542384
621,6,34,19,40,9975.99,5,3,309,Devolução internacional,Rodoviário,2023-02-21,9,1,0.728124,Yuan Chinês,China,Real Brasileiro,Brasil,Turquia,TUR,,Rússia,RUS,6.0,7263.75774276
622,1,39,30,3,10886.16,369,4,310,Importação,Ferroviário,2023-02-21,10,6,0.00725,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Malásia,MYS,4.0,Suíça,CHE,10.0,78.92466
623,2,4,1,6,11797.33,733,5,311,Exportação,Multimodal,2023-02-21,15,1,0.006127,Peso Chileno,Chile,Real Brasileiro,Brasil,Uruguai,URY,1.0,Brasil,BRA,1.0,72.28224091
624,3,9,12,9,12708.5,1097,6,312,Transferência entre filiais,Courier Internacional,2023-02-21,18,1,1.471741,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Portugal,PRT,2.0,Estados Unidos,USA,3.0,18703.6204985
625,5,37,18,21,2724.76,1114,1,313,Venda internacional,Marítimo,2023-02-22,6,1,5.276102,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Vietnã,VNM,4.0,Índia,IND,6.0,14376.111685520002
626,6,2,29,24,3635.93,1485,2,314,Devolução internacional,Aéreo,2023-02-22,5,1,5.449365,Euro,Zona do Euro,Real Brasileiro,Brasil,Argentina,ARG,1.0,Nova Zelândia,NZL,5.0,19813.50968445
627,1,7,40,27,4546.1,1856,3,315,Importação,Rodoviário,2023-02-22,9,1,0.727763,Yuan Chinês,China,Real Brasileiro,Brasil,Itália,ITA,2.0,Nigéria,NGA,9.0,3308.4833743000004
628,2,12,11,30,5457.27,227,4,316,Exportação,Ferroviário,2023-02-22,10,6,0.007261,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Estados Unidos,USA,3.0,Bélgica,BEL,2.0,39.62523747
629,3,17,22,33,6368.44,598,5,317,Transferência entre filiais,Multimodal,2023-02-22,15,1,0.006147,Peso Chileno,Chile,Real Brasileiro,Brasil,Coreia do Sul,KOR,5.0,Peru,PER,7.0,39.14680068
630,4,22,33,36,7279.61,969,6,318,Compra internacional,Courier Internacional,2023-02-22,18,1,1.476055,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Peru,PER,7.0,Dinamarca,DNK,2.0,10745.104738549999
631,5,27,4,39,8190.78,1340,1,313,Venda internacional,Marítimo,2023-02-22,6,1,5.276102,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Egito,EGY,8.0,Uruguai,URY,1.0,43215.390739559996
632,6,32,15,2,9101.95,1711,2,314,Devolução internacional,Aéreo,2023-02-22,5,1,5.449365,Euro,Zona do Euro,Real Brasileiro,Brasil,Suécia,SWE,2.0,China,CHN,5.0,49599.84776175
633,1,37,26,5,10012.12,82,3,315,Importação,Rodoviário,2023-02-22,9,1,0.727763,Yuan Chinês,China,Real Brasileiro,Brasil,Vietnã,VNM,4.0,Arábia Saudita,SAU,8.0,7286.450487560001
634,2,2,37,8,10923.29,453,4,316,Exportação,Ferroviário,2023-02-22,10,6,0.007261,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Argentina,ARG,1.0,Vietnã,VNM,4.0,79.31400869000001
635,3,7,8,11,11834.46,824,5,317,Transferência entre filiais,Multimodal,2023-02-22,15,1,0.006147,Peso Chileno,Chile,Real Brasileiro,Brasil,Itália,ITA,2.0,Espanha,ESP,2.0,72.74642562
636,4,12,19,14,12745.63,1195,6,318,Compra internacional,Courier Internacional,2023-02-22,18,1,1.476055,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Estados Unidos,USA,3.0,Rússia,RUS,6.0,18813.250889649997
637,6,40,25,26,2761.89,1135,1,319,Devolução internacional,Marítimo,2023-02-23,6,1,5.264219,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Nigéria,NGA,9.0,Emirados Árabes Unidos,ARE,8.0,14539.193813909998
638,1,5,36,29,3672.06,1513,2,320,Importação,Aéreo,2023-02-23,5,1,5.438843,Euro,Zona do Euro,Real Brasileiro,Brasil,Alemanha,DEU,2.0,Tailândia,THA,4.0,19971.75782658
639,2,10,7,32,4583.23,1891,3,321,Exportação,Rodoviário,2023-02-23,9,1,0.727489,Yuan Chinês,China,Real Brasileiro,Brasil,Países Baixos,NLD,2.0,Itália,ITA,2.0,3334.24940947
640,3,15,18,35,5494.4,269,4,322,Transferência entre filiais,Ferroviário,2023-02-23,10,6,0.007273,Iene Japonês,Japão,Dólar Americano,Estados Unidos,China,CHN,5.0,Índia,IND,6.0,39.960771199999996
641,4,20,29,38,6405.57,647,5,323,Compra internacional,Multimodal,2023-02-23,15,1,0.006168,Peso Chileno,Chile,Real Brasileiro,Brasil,África do Sul,ZAF,6.0,Nova Zelândia,NZL,5.0,39.50955576
642,5,25,40,1,7316.74,1025,6,324,Venda internacional,Courier Internacional,2023-02-23,18,1,1.48028,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Emirados Árabes Unidos,ARE,8.0,Nigéria,NGA,9.0,10830.8238872
643,6,30,11,4,8227.91,1403,1,319,Devolução internacional,Marítimo,2023-02-23,6,1,5.264219,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Suíça,CHE,10.0,Bélgica,BEL,2.0,43313.520152289995
644,1,35,22,7,9138.08,1781,2,320,Importação,Aéreo,2023-02-23,5,1,5.438843,Euro,Zona do Euro,Real Brasileiro,Brasil,Singapura,SGP,4.0,Peru,PER,7.0,49700.582441440005
645,2,40,33,10,10049.25,159,3,321,Exportação,Rodoviário,2023-02-23,9,1,0.727489,Yuan Chinês,China,Real Brasileiro,Brasil,Nigéria,NGA,9.0,Dinamarca,DNK,2.0,7310.718833250001
646,3,5,4,13,10960.42,537,4,322,Transferência entre filiais,Ferroviário,2023-02-23,10,6,0.007273,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Alemanha,DEU,2.0,Uruguai,URY,1.0,79.71513466
647,4,10,15,16,11871.59,915,5,323,Compra internacional,Multimodal,2023-02-23,15,1,0.006168,Peso Chileno,Chile,Real Brasileiro,Brasil,Países Baixos,NLD,2.0,China,CHN,5.0,73.22396712
648,5,15,26,19,12782.76,1293,6,324,Venda internacional,Courier Internacional,2023-02-23,18,1,1.48028,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,China,CHN,5.0,Arábia Saudita,SAU,8.0,18922.063972800002
649,1,3,32,31,2798.02,1156,1,325,Importação,Marítimo,2023-02-24,6,1,5.252311,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Paraguai,PRY,1.0,Suécia,SWE,2.0,14696.071224219999
650,2,8,3,34,3709.19,1541,2,326,Exportação,Aéreo,2023-02-24,5,1,5.428778,Euro,Zona do Euro,Real Brasileiro,Brasil,Espanha,ESP,2.0,Paraguai,PRY,1.0,20136.36906982
651,3,13,14,37,4620.36,1926,3,327,Transferência entre filiais,Rodoviário,2023-02-24,9,1,0.727305,Yuan Chinês,China,Real Brasileiro,Brasil,Canadá,CAN,3.0,México,MEX,3.0,3360.4109298
652,4,18,25,40,5531.53,311,4,328,Compra internacional,Ferroviário,2023-02-24,10,6,0.007286,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Índia,IND,6.0,Emirados Árabes Unidos,ARE,8.0,40.302727579999996
653,5,23,36,3,6442.7,696,5,329,Venda internacional,Multimodal,2023-02-24,15,1,0.006189,Peso Chileno,Chile,Real Brasileiro,Brasil,Colômbia,COL,7.0,Tailândia,THA,4.0,39.8738703
654,6,28,7,6,7353.87,1081,6,330,Devolução internacional,Courier Internacional,2023-02-24,18,1,1.484401,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Austrália,AUS,5.0,Itália,ITA,2.0,10916.09198187
655,1,33,18,9,8264.04,1466,1,325,Importação,Marítimo,2023-02-24,6,1,5.252311,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Dinamarca,DNK,2.0,Índia,IND,6.0,43405.308196440004
656,2,38,29,12,9175.21,1851,2,326,Exportação,Aéreo,2023-02-24,5,1,5.428778,Euro,Zona do Euro,Real Brasileiro,Brasil,Indonésia,IDN,4.0,Nova Zelândia,NZL,5.0,49810.17819338
657,3,3,40,15,10086.38,236,3,327,Transferência entre filiais,Rodoviário,2023-02-24,9,1,0.727305,Yuan Chinês,China,Real Brasileiro,Brasil,Paraguai,PRY,1.0,Nigéria,NGA,9.0,7335.8746059
658,4,8,11,18,10997.55,621,4,328,Compra internacional,Ferroviário,2023-02-24,10,6,0.007286,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Espanha,ESP,2.0,Bélgica,BEL,2.0,80.12814929999999
659,5,13,22,21,11908.72,1006,5,329,Venda internacional,Multimodal,2023-02-24,15,1,0.006189,Peso Chileno,Chile,Real Brasileiro,Brasil,Canadá,CAN,3.0,Peru,PER,7.0,73.70306808
660,6,18,33,24,12819.89,1391,6,330,Devolução internacional,Courier Internacional,2023-02-24,18,1,1.484401,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Índia,IND,6.0,Dinamarca,DNK,2.0,19029.85753589
661,2,6,39,36,2835.15,1177,1,331,Exportação,Marítimo,2023-02-25,6,1,5.240415,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,França,FRA,2.0,Malásia,MYS,4.0,14857.36258725
662,3,11,10,39,3746.32,1569,2,332,Transferência entre filiais,Aéreo,2023-02-25,5,1,5.419203,Euro,Zona do Euro,Real Brasileiro,Brasil,Bélgica,BEL,2.0,Países Baixos,NLD,2.0,20302.068582960004
663,4,16,21,2,4657.49,1961,3,333,Compra internacional,Rodoviário,2023-02-25,9,1,0.727211,Yuan Chinês,China,Real Brasileiro,Brasil,Japão,JPN,5.0,Chile,CHL,7.0,3386.97796039
664,5,21,32,5,5568.66,353,4,334,Venda internacional,Ferroviário,2023-02-25,10,6,0.0073,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Chile,CHL,7.0,Suécia,SWE,2.0,40.651218
665,6,26,3,8,6479.83,745,5,335,Devolução internacional,Multimodal,2023-02-25,15,1,0.00621,Peso Chileno,Chile,Real Brasileiro,Brasil,Arábia Saudita,SAU,8.0,Paraguai,PRY,1.0,40.2397443
666,1,31,14,11,7390.0,1137,6,336,Importação,Courier Internacional,2023-02-25,18,1,1.488404,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Noruega,NOR,10.0,México,MEX,3.0,10999.30556
667,2,36,25,14,8301.17,1529,1,331,Exportação,Marítimo,2023-02-25,6,1,5.240415,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Tailândia,THA,4.0,Emirados Árabes Unidos,ARE,8.0,43501.57578555
668,3,1,36,17,9212.34,1921,2,332,Transferência entre filiais,Aéreo,2023-02-25,5,1,5.419203,Euro,Zona do Euro,Real Brasileiro,Brasil,Brasil,BRA,1.0,Tailândia,THA,4.0,49923.540565020005
669,4,6,7,20,10123.51,313,3,333,Compra internacional,Rodoviário,2023-02-25,9,1,0.727211,Yuan Chinês,China,Real Brasileiro,Brasil,França,FRA,2.0,Itália,ITA,2.0,7361.9278306100005
670,5,11,18,23,11034.68,705,4,334,Venda internacional,Ferroviário,2023-02-25,10,6,0.0073,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Bélgica,BEL,2.0,Índia,IND,6.0,80.55316400000001
671,6,16,29,26,11945.85,1097,5,335,Devolução internacional,Multimodal,2023-02-25,15,1,0.00621,Peso Chileno,Chile,Real Brasileiro,Brasil,Japão,JPN,5.0,Nova Zelândia,NZL,5.0,74.1837285
672,1,21,40,29,12856.02,1489,6,336,Importação,Courier Internacional,2023-02-25,18,1,1.488404,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Chile,CHL,7.0,Nigéria,NGA,9.0,19134.95159208
673,3,9,6,1,2872.28,1198,1,337,Transferência entre filiais,Marítimo,2023-02-26,6,1,5.228567,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Portugal,PRT,2.0,França,FRA,2.0,15017.908422760001
674,4,14,17,4,3783.45,1597,2,338,Compra internacional,Aéreo,2023-02-26,5,1,5.410147,Euro,Zona do Euro,Real Brasileiro,Brasil,México,MEX,3.0,Coreia do Sul,KOR,5.0,20469.02066715
675,5,19,28,7,4694.62,1996,3,339,Venda internacional,Rodoviário,2023-02-26,9,1,0.727207,Yuan Chinês,China,Real Brasileiro,Brasil,Rússia,RUS,6.0,Austrália,AUS,5.0,3413.9605263400003
676,6,24,39,10,5605.79,395,4,340,Devolução internacional,Ferroviário,2023-02-26,10,6,0.007315,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Bolívia,BOL,7.0,Malásia,MYS,4.0,41.00635385
677,1,29,10,13,6516.96,794,5,341,Importação,Multimodal,2023-02-26,15,1,0.006232,Peso Chileno,Chile,Real Brasileiro,Brasil,Nova Zelândia,NZL,5.0,Países Baixos,NLD,2.0,40.61369472
678,2,34,21,16,7427.13,1193,6,342,Exportação,Courier Internacional,2023-02-26,18,1,1.492272,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Turquia,TUR,,Chile,CHL,7.0,11083.29813936
679,3,39,32,19,8338.3,1592,1,337,Transferência entre filiais,Marítimo,2023-02-26,6,1,5.228567,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Malásia,MYS,4.0,Suécia,SWE,2.0,43597.360216099994
